Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
14414066;OÜ IRETAIL EESTI;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
14414076;AXF EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );2585,03;774;20460,45;1
14414082;METALLINK DESIGN OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );935,18;662,5;1449,47;
14414120;CAMEO TEAM GROUP OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );0,25;0;0;
14414202;GROUNDING OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Valga ( Valga vald );6325,55;3079,21;;2
14414219;METSAVAHI TALU OÜ;Äriühing;jah;EHITUS;Rapla ( Kehtna vald );5656,21;3467,33;12158,28;1
14414225;CRAZYEVENTS OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Tallinn );2216,79;840,39;12239,88;1
14414308;HIRAM OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
14414320;S-SERV OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Tartu ( Nõo vald );5822,6;3168,58;33533,29;4
14414372;ESTONIA REALTY OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );10593,27;0;159106,15;
14414389;WHAT IF OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );12070,22;5782,6;176503,91;2
14414403;ELLY HOUSE OÜ;Äriühing;ei;MAJUTUS JA TOITLUSTUS;Lääne ( Haapsalu linn );198,75;198,75;;
14414432;JANNO-MARTIN REIDOLF;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Valga ( Otepää vald );574,37;0;9362,4;
14414449;DOBBYTEC OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );754,24;0;93755,85;
14414478;VIASTON GRUPP OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Rae vald );58253,06;30409,23;194731,82;6
14414484;ALEXANDRIT OÜ;Äriühing;jah;EHITUS;Harju ( Harku vald );7168,25;2474,46;93326,34;2
14414521;JUALEX OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Maardu linn );594,24;637,44;;1
14414538;ILUDUSPLUS UÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Narva linn );0;20,53;;1
14414544;GRÖN INVEST OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Saue vald );410,76;0;28568,27;
14414567;TIMBERPRO OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Ida-Viru ( Alutaguse vald );;;0;
14414596;LINDALINE HT AS;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );;;;
14414691;LRT-TRANSGRUPP OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Rae vald );40188,8;17705,92;187866,94;9
14414716;NWE COMPANY OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );3851,15;3878,62;29755;2
