Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10002135;EVOLER, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Võru ( Võru linn );6302,46;2060,46;29112,04;
10002170;OÜ HARTO;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1473,45;0;;
10002201;SCANWOOD, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Valga ( Otepää vald );8218,63;4694,38;24851,82;2
10002218;AMIDON OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );10757,26;4747,48;32054,39;5
10002282;KREEGIMÄE TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Kadrina vald );1186,03;840,39;2541,06;1
10002307;AUTOKLANTS, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );5463,69;2888,79;32264,14;4
10002324;TEBO GRUPP, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Viimsi vald );952,37;0;6386,77;
10002342;LÕUNAIDU, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );40318,21;11508,98;133737,47;4
10002365;FOTLAND, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Viimsi vald );340,77;355,36;0;1
10002371;HAVERA, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Harku vald );8303,42;6155,01;19364,57;3
10002388;DESTEIN OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );11149,87;6906,53;44941,54;2
10002394;ALLFILM, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );7509;33248,01;345598,72;12
10002419;PLAMOST, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );158,13;0;0;
10002543;HAAPSALU PEREARST, TÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Lääne ( Haapsalu linn );56588,07;36948,56;;7
10002572;TEXLIN, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );29261,74;20806,04;331327,22;8
10002589;UHTNA POOD, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere vald );6843,46;4898,62;64355,62;3
10002715;MACULA, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Ida-Viru ( Lüganuse vald );12006,98;11095,18;;3
10002750;TEIMRA, OÜ;Äriühing;jah;EHITUS;Tartu ( Kambja vald );4983,64;935,9;15056,32;1
10002862;JAHVATAJA, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Rakvere vald );0;2217,77;20687,28;3
10002922;TOPLEX, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Saare ( Saaremaa vald );1170,98;0;3302,29;
10002939;HEINO LÄÄN, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi vald );1844,26;0;11361,73;
10002945;AUDIITORIBÜROO REVISOR, OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Viljandi ( Viljandi linn );9089,36;3794,63;25593;3
10003011;ATRENDA, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );5755,83;4228,92;12190,26;4
10003034;KERRI C & M, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi linn );4241,98;56,01;24217,87;1
