Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10822559;NAVIS GRUPP, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Keila linn );47,4;0;17690,27;
10822720;OSAÜHING DINERO INVEST;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Saue vald );5162,74;1545,47;5458,55;1
10822795;IPARTS-ORIGINAL OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2684,57;163,33;19697,11;
10822832;AHESOFA, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1251,89;898,89;2494;
10822861;KÜLMAMEES, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1876,22;1260;19960;1
10822884;GEOTRAIL KS, OÜ;Äriühing;jah;HARIDUS;Harju ( Tallinn );44,06;0;4157,16;
10822915;OSAÜHING OLIMZAR;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );46665,37;7647,24;125637,86;5
10822967;AVVS-TECH OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );817,61;0;11018,39;
10823010;PLOMMEST OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );976,85;504,39;7169,54;2
10823085;REVALCONSTANT, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );0;0;9170;
10823122;ERAFIN CONSULT, UÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );312,83;27,64;1485;1
10823174;AUGUST VOORE;FIE;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Järva ( Järva vald );627,3;0;13029,38;
10823180;NORDEST GRUPP, OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );1384,56;742,19;12917,03;1
10823375;OÜ W-GLASS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );136374,88;147339,29;1893501,03;53
10823398;ARTEMIA, OÜ;Äriühing;ei;EHITUS;Harju ( Tallinn );804,08;858,58;;1
10823435;NINATARK OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );2311,94;1699,45;16275,9;2
10823441;FREESPORT TRADING OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );9883,64;3735,42;49454,43;2
10823470;TEHNICS TRADE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Pärnu ( Tori vald );3206,62;0;31736,96;
10823530;VOLKMANN STUDIO, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;;1188,57;0;6001,71;
10823599;ALIAS TÕLKEAGENTUUR OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1366,36;1189,22;8325,72;2
10823659;SVATEKBALT, OÜ;Äriühing;jah;EHITUS;Harju ( Keila linn );6198,91;4678,38;10657;5
10823665;HANSAKIVI, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );29118,85;15036,82;86338,96;7
10823748;AUTODISAINI OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );14285,04;10064;65611,52;5
10823754;AVT, OÜ;Äriühing;ei;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );124,11;125,97;;1
10823932;KRANTSI KÕRTS, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Rapla ( Rapla vald );3540,46;3504,32;17398,14;4
10823978;LILTO KINNISVARA, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );;;0;
10824009;ERAM BOOKS, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );40841,98;29825,36;205834,48;41
10824050;OSAÜHING ST INVESTEERINGUD;Äriühing;jah;KINNISVARAALANE TEGEVUS;Lääne ( Haapsalu linn );1346,99;860,88;3845,73;1
10824104;CONTEST TRADE OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Maardu linn );2896,87;1618,65;7137,58;1
10824146;SAULEST OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Viimsi vald );1700,93;0;48576,83;
10824179;UNENÄGUDE KAUBANDUSE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );6863,12;5488,6;65596,02;5
10824185;ANDERSON TRADING, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );954;968,4;;1
10824200;BALTIC FISH TRADE, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Maardu linn );11257,49;6711,28;39532;5
10824274;HAMBARAVI MALLE VEERING, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Kose vald );11826,49;12514,88;;6
10824280;OÜ ARMULAINE;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Saare ( Saaremaa vald );;;0;
10824297;HARKU AUTOKESKUS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Harku vald );23998,72;15044,75;140934,35;11
10824340;FIRSTPARTNER, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Ida-Viru ( Lüganuse vald );2516,26;2100,56;11707,5;2
10824375;VIRUMARKET, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Lääne-Viru ( Rakvere linn );1868,3;2106,58;9896,48;2
10824417;ALTRA TAVK, OÜ;Äriühing;ei;VEONDUS JA LAONDUS;Harju ( Tallinn );;;0;
10824498;BATCOPLAST, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );13607,21;7211,79;72854,58;1
10824512;PIKTAR OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1617,1;1278,86;1303,73;1
10824541;SEDLEY FUND, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Rapla ( Rapla vald );1734,64;1686,82;889,64;2
10824570;MAARDU PEREARSTI KESKUS, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Maardu linn );37786,67;38849,04;;7
10824587;MEELIS ARUKAEVU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Anija vald );;;0;
10824601;K. AUTO SERVICE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );671,79;333,98;3937,93;1
